,sna,tot,sbi,sarea,mday,ar,bemp,act
0,YouBike2.0_捷運科技大樓站,28,0,大安區,2023-05-27 13:57:04,復興南路二段235號前,25,1
1,YouBike2.0_復興南路二段273號前,21,0,大安區,2023-05-27 13:57:04,復興南路二段273號西側,21,1
2,YouBike2.0_國北教大實小東側門,16,0,大安區,2023-05-27 13:46:04,和平東路二段96巷7號,15,1
3,YouBike2.0_和平公園東側,11,0,大安區,2023-05-27 13:57:04,和平東路二段118巷33號,11,1
4,YouBike2.0_辛亥復興路口西北側,16,0,大安區,2023-05-27 13:55:11,復興南路二段368號,16,1
5,YouBike2.0_復興南路二段280號前,11,3,大安區,2023-05-27 13:48:14,復興南路二段280號,8,1
6,YouBike2.0_復興南路二段340巷口,11,1,大安區,2023-05-27 13:57:14,復興南路二段342號,9,1
8,YouBike2.0_新生南路三段66號前,16,1,大安區,2023-05-27 13:55:11,新生南路三段66號東側,15,1
9,YouBike2.0_新生南路三段82號前,20,0,大安區,2023-05-27 13:57:14,新生南路三段82號,19,1
10,YouBike2.0_辛亥路一段30號前,8,2,大安區,2023-05-27 13:48:14,辛亥路一段30號,6,1
15,YouBike2.0_溫州公園,5,2,大安區,2023-05-27 13:57:14,羅斯福路三段283巷11號,3,1
17,YouBike2.0_溫州停車場,5,2,大安區,2023-05-27 13:57:14,新生南路三段54巷/溫州街口,3,1
18,YouBike2.0_銘傳國小側門,7,2,大安區,2023-05-27 13:57:14,羅斯福路四段21號旁天橋下,4,1
23,YouBike2.0_公館公園,15,0,大安區,2023-05-27 13:53:04,羅斯福路四段113巷基隆路四段41巷口,15,1
26,YouBike2.0_臺大環研大樓,15,2,大安區,2023-05-27 13:40:21,芳蘭路/基隆路三段155巷口,13,1
28,YouBike2.0_臺大男七舍前,20,3,大安區,2023-05-27 13:53:15,長興街/長興街80巷口西側,17,1
32,YouBike2.0_臺大土木研究大樓前,24,3,大安區,2023-05-27 13:36:15,辛亥路三段188號,20,1
34,YouBike2.0_臺大國青大樓宿舍前,20,0,大安區,2023-05-27 13:57:14,辛亥路三段30號西北側,20,1
35,YouBike2.0_臺大社科院圖書館前,27,1,大安區,2023-05-27 13:56:15,辛亥路與復興南路口西南側,26,1
38,YouBike2.0_辛亥新生路口東南側,41,1,大安區,2023-05-27 13:56:15,辛亥新生路口東南側,39,1
42,YouBike2.0_大安區健康服務中心,15,0,大安區,2023-05-27 13:07:04,辛亥路三段15號,15,1
43,YouBike2.0_辛亥泰順街口,20,2,大安區,2023-05-27 13:50:20,辛亥泰順街口東南側,16,1
46,YouBike2.0_臥龍公園,14,2,大安區,2023-05-27 13:55:23,辛亥路三段223號西側,12,1
49,YouBike2.0_捷運六張犁站,64,3,大安區,2023-05-27 13:56:15,和平東路三段410號,61,1
50,YouBike2.0_喬治工商,26,2,大安區,2023-05-27 13:55:23,基隆路二段166號,21,1
51,YouBike2.0_法治公園,15,0,大安區,2023-05-27 12:57:04,通化街189號西側,14,1
52,YouBike2.0_捷運臺電大樓站(2號出口),15,0,大安區,2023-05-27 13:51:04,辛亥路一段/羅斯福路三段口北側(辛亥路側),15,1
54,YouBike2.0_和平龍泉街口,34,2,大安區,2023-05-27 13:55:23,和平東路一段/龍泉街口西南側,31,1
58,YouBike2.0_捷運古亭站(5號出口),14,0,大安區,2023-05-27 13:57:14,和平東路一段19號前,14,1
60,YouBike2.0_新生和平路口東北側,38,2,大安區,2023-05-27 13:44:06,新生南路二段與和平東路二段口東北側,35,1
63,YouBike2.0_捷運東門站(3號出口),15,2,大安區,2023-05-27 13:56:15,信義路二段128號前,13,1
68,YouBike2.0_敦化基隆路口,29,2,大安區,2023-05-27 13:57:14,敦化南路二段218號,25,1
69,YouBike2.0_安和路二段181巷口,17,1,大安區,2023-05-27 13:25:15,安和路二段185號,16,1
70,YouBike2.0_臨江街夜市(通化街101巷口),30,1,大安區,2023-05-27 13:53:15,通化街111號,28,1
71,YouBike2.0_臨江街夜市(基隆路),17,0,大安區,2023-05-27 13:57:14,基隆路二段108號,14,1
72,YouBike2.0_台北科技大學億光大樓,46,0,大安區,2023-05-27 13:53:04,忠孝東路三段81號,45,1
75,YouBike2.0_民榮公園,15,0,大安區,2023-04-20 07:22:04,建國南路一段304巷45號南側,15,0
79,YouBike2.0_捷運大安站(4號出口),13,0,大安區,2023-05-27 13:57:14,信義路4段6號(前),11,1
81,YouBike2.0_信義大安路口(信維大樓),12,3,大安區,2023-05-27 13:57:14,信義路四段74號(前),8,1
84,YouBike2.0_信義敦化路口,46,2,大安區,2023-05-27 13:54:15,信義路四段155號前,44,1
85,YouBike2.0_仁愛國中,25,0,大安區,2023-05-27 13:53:04,安和路一段75號(對面),23,1
86,YouBike2.0_捷運信義安和站(2號出口),26,1,大安區,2023-05-27 13:55:23,信義路四段188號前,24,1
87,YouBike2.0_八德市場,30,0,大安區,2023-05-27 13:53:04,市民大道三段170號,29,1
88,YouBike2.0_昌隆公園,16,0,大安區,2023-05-27 13:57:04,市民大道三段206號西側,15,1
90,YouBike2.0_信義延吉街口,15,1,大安區,2023-05-27 13:43:14,信義路四段353號,14,1
91,YouBike2.0_光信公園(光復南路456巷),15,0,大安區,2023-05-27 13:51:04,延吉街249號,14,1
94,YouBike2.0_捷運忠孝新生站(6號出口),15,0,大安區,2023-05-27 13:23:04,新生南路一段101號,15,1
